DATE,CFNAI
2019-10-01,-452.94118
2019-11-01,123.52941
2019-12-01,-211.76471
2020-01-01,-111.76471
2020-02-01,52.94118
2020-03-01,-2600.00000
2020-04-01,-10635.29412
2020-05-01,2741.17647
2020-06-01,3682.35294
2020-07-01,1500.00000
2020-08-01,741.17647
2020-09-01,282.35294
2020-10-01,552.94118
2020-11-01,164.70588
2020-12-01,376.47059
2021-01-01,523.52941
2021-02-01,-1047.05882
2021-03-01,1347.05882
2021-04-01,41.17647
2021-05-01,111.76471
2021-06-01,182.35294
2021-07-01,417.64706
2021-08-01,47.05882
2021-09-01,-35.29412
2021-10-01,541.17647
2021-11-01,423.52941
2021-12-01,129.41176
2022-01-01,94.11765
2022-02-01,311.76471
2022-03-01,264.70588
2022-04-01,23.52941
2022-05-01,-194.11765
2022-06-01,-129.41176
2022-07-01,111.76471
2022-08-01,100.00000
2022-09-01,17.64706
2022-10-01,-5.88235
2022-11-01,-347.05882
2022-12-01,-294.11765
2023-01-01,388.23529
2023-02-01,-252.94118
2023-03-01,-288.23529
2023-04-01,58.82353
2023-05-01,-94.11765
2023-06-01,-252.94118
2023-07-01,76.47059
2023-08-01,-111.76471
2023-09-01,-23.52941
2023-10-01,-347.05882
2023-11-01,123.52941
2023-12-01,-64.70588
2024-01-01,-476.47059
2024-02-01,229.41176
2024-03-01,-88.23529
2024-04-01,-229.41176
2024-05-01,105.88235
2024-06-01,-88.23529
2024-07-01,-152.94118
2024-08-01,-5.88235
2024-09-01,-164.70588
